Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
North Macedonia,MKD,2020,< 10000,< 10000,650000,< 10000,1210000,< 10000,< 10000
Norway,NOR,2010,30000,< 10000,120000,< 10000,3850000,720000,160000
Norway,NOR,2020,40000,10000,220000,< 10000,3840000,1210000,50000
Oceania,OWID_OCE,2010,68,67,67,12,2704,750,34
Oceania,OWID_OCE,2020,74,113,104,11,2660,1359,66
Oman,OMN,2010,< 10000,140000,2490000,< 10000,120000,< 10000,< 10000
Oman,OMN,2020,< 10000,430000,3700000,< 10000,370000,< 10000,20000
Pakistan,PAK,2010,20000,3510000,192640000,< 10000,2960000,30000,90000
Pakistan,PAK,2020,20000,5030000,226880000,< 10000,2990000,30000,50000
Palestine,PSE,2010,< 10000,< 10000,3970000,< 10000,50000,< 10000,< 10000
Palestine,PSE,2020,< 10000,< 10000,5020000,< 10000,50000,< 10000,< 10000
Panama,PAN,2010,< 10000,< 10000,< 10000,< 10000,3380000,220000,10000
Panama,PAN,2020,< 10000,< 10000,< 10000,< 10000,3910000,270000,90000
Papua New Guinea,PNG,2010,< 10000,< 10000,< 10000,< 10000,7600000,30000,< 10000
Papua New Guinea,PNG,2020,< 10000,< 10000,< 10000,< 10000,9730000,30000,50000
Paraguay,PRY,2010,< 10000,< 10000,< 10000,< 10000,5550000,30000,150000
Paraguay,PRY,2020,< 10000,< 10000,< 10000,< 10000,6180000,280000,140000
Peru,PER,2010,< 10000,< 10000,< 10000,< 10000,27320000,820000,940000
Peru,PER,2020,10000,< 10000,< 10000,< 10000,31030000,1680000,110000
Philippines,PHL,2010,40000,< 10000,5370000,< 10000,88410000,70000,2450000
Philippines,PHL,2020,40000,< 10000,7240000,< 10000,102510000,50000,2240000
Poland,POL,2010,< 10000,< 10000,< 10000,< 10000,37050000,1010000,20000
Poland,POL,2020,< 10000,< 10000,< 10000,< 10000,34810000,3300000,50000
Portugal,PRT,2010,20000,20000,30000,< 10000,9710000,760000,40000
Portugal,PRT,2020,20000,20000,40000,< 10000,8820000,1430000,30000
Puerto Rico,PRI,2010,< 10000,< 10000,< 10000,< 10000,3300000,380000,< 10000
Puerto Rico,PRI,2020,< 10000,< 10000,< 10000,< 10000,2910000,340000,< 10000
Qatar,QAT,2010,< 10000,190000,1280000,< 10000,230000,< 10000,< 10000
Qatar,QAT,2020,< 10000,300000,2130000,< 10000,350000,< 10000,10000
Reunion,REU,2010,< 10000,40000,40000,< 10000,740000,20000,10000
Reunion,REU,2020,< 10000,40000,40000,< 10000,750000,20000,10000
Romania,ROU,2010,< 10000,< 10000,70000,< 10000,20280000,40000,30000
Romania,ROU,2020,< 10000,< 10000,70000,< 10000,19110000,180000,10000
Russia,RUS,2010,520000,100000,12410000,200000,110960000,18760000,980000
Russia,RUS,2020,520000,100000,11990000,120000,102350000,29560000,1720000
Rwanda,RWA,2010,< 10000,< 10000,140000,< 10000,9990000,90000,90000
Rwanda,RWA,2020,< 10000,< 10000,240000,< 10000,12680000,130000,20000
Saint Lucia,LCA,2010,< 10000,< 10000,< 10000,< 10000,160000,10000,< 10000
Saint Lucia,LCA,2020,< 10000,< 10000,< 10000,< 10000,160000,10000,< 10000
Saint Vincent and the Grenadines,VCT,2010,< 10000,< 10000,< 10000,< 10000,90000,< 10000,< 10000
Saint Vincent and the Grenadines,VCT,2020,< 10000,< 10000,< 10000,< 10000,90000,< 10000,< 10000
Samoa,WSM,2010,< 10000,< 10000,< 10000,< 10000,190000,< 10000,< 10000
